Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
30-Nov-17,Pennsylvania,Bristol,1000 block of Bath Rd,0,0,N/A
30-Nov-17,South Carolina,Orangeburg,300 block of Jamison Avenue,0,1,N/A
30-Nov-17,Georgia,Atlanta,1700 block of Stanton Rd SW,0,1,N/A
29-Nov-17,Georgia,Atlanta,2000 Block of Martin Luther King Jr Dr SW,0,1,N/A
29-Nov-17,Kentucky,Louisville,Arling Ave,0,0,N/A
29-Nov-17,Minnesota,Saint Paul (Apple Valley),Cedar Ave S and 140th St W,0,0,N/A
29-Nov-17,Minnesota,Minneapolis,2400 Elliot Ave S,0,0,N/A
29-Nov-17,New Jersey,Allentown,27 High St,0,0,N/A
29-Nov-17,North Carolina,Winston Salem (Winston-salem),N/A,0,0,N/A
29-Nov-17,New Jersey,Paterson,Rosa Parks Blvd,0,1,N/A
29-Nov-17,Illinois,Colp,Garfield St,0,0,N/A
29-Nov-17,Georgia,Forsyth,1334 Rumble Road,0,0,N/A
29-Nov-17,Georgia,Columbus,3400 block of St. Marys Road,0,0,N/A
29-Nov-17,Wisconsin,Milwaukee,3100 block of N 40th St,0,1,N/A
29-Nov-17,North Carolina,Durham,200 Block of Breedlove Ave,0,1,N/A
29-Nov-17,Wisconsin,Milwaukee,39th and Galena,0,1,N/A
29-Nov-17,Pennsylvania,Jeannette,Good St,0,0,N/A
29-Nov-17,North Carolina,Wilmington,500 block of North 15th Street,0,0,N/A
29-Nov-17,West Virginia,Huntington,200 block of 5th Ave,0,1,N/A
29-Nov-17,California,San Diego,3170 Armstrong St,0,1,N/A
29-Nov-17,Pennsylvania,Braddock (Rankin),Rankin Bridge,0,0,N/A
29-Nov-17,Nevada,Las Vegas,6500 block of Boulder Hwy,0,1,N/A
29-Nov-17,Pennsylvania,Youngwood,S 3rd St,0,0,N/A
29-Nov-17,California,Bakersfield,1200 block of Alta Vista Dr,0,1,N/A
29-Nov-17,California,San Jose,201 W Mission Street,0,0,N/A
29-Nov-17,Missouri,Saint Louis (Moline Acres),9800 block of Monarch Dr,0,3,N/A
29-Nov-17,Missouri,Hannibal,2600 block of Saint Marys Ave,0,1,N/A
29-Nov-17,Louisiana,New Orleans,1600 block of S Liberty,0,1,N/A
29-Nov-17,Indiana,South Bend,4747 W Washington St,0,0,N/A
29-Nov-17,New York,Central Islip,Prospect Ave,0,1,N/A
29-Nov-17,California,Santa Clarita,21300 block of Bottletree Ln,0,1,N/A
29-Nov-17,Indiana,Indianapolis,4000 N Brentwood Dr,0,0,N/A
29-Nov-17,Virginia,Richmond,2300 block of Affton Avenue,0,1,N/A
29-Nov-17,California,Stockton,Sonora St and Laurel St,0,0,N/A
29-Nov-17,California,North Hollywood,6000 block of Satsuma Ave,0,1,N/A
29-Nov-17,New Jersey,Paterson,N 5th St and Jefferson St,0,0,N/A
29-Nov-17,Michigan,Highland Park,Hamilton Ave and Oakman Blvd,0,2,N/A
29-Nov-17,Michigan,Detroit,Toledo and Ferdinand,0,1,N/A
29-Nov-17,Illinois,Chicago,700 W 47th Pl,0,1,N/A
29-Nov-17,Illinois,Chicago,6100 S King Dr,0,1,N/A
29-Nov-17,Illinois,Aurora,700 block of Concord St,0,0,N/A
29-Nov-17,Idaho,Nampa,1600 block of Lava Ave,0,0,N/A
29-Nov-17,Illinois,Chicago,4700 S Prairie Ave,0,1,N/A
29-Nov-17,Florida,Boynton Beach,100 Block of S Atlantic Dr,0,1,N/A
29-Nov-17,Ohio,Columbus,1320 Duxberry Ave,0,0,N/A
29-Nov-17,Florida,Miami,NW 77th St and 14th Ave,0,1,N/A
29-Nov-17,Massachusetts,Seekonk,Commerce Way,0,0,N/A
29-Nov-17,Illinois,Chicago,7000 S Indiana Ave,0,1,N/A
29-Nov-17,New Hampshire,Atkinson,23 Ridgewood Dr,0,0,N/A
29-Nov-17,Illinois,Chicago,100 W 99th St,0,1,N/A
29-Nov-17,Illinois,Chicago,1 N Long Ave,0,2,N/A
29-Nov-17,Florida,Riverview,13312 Palmera Vista Dr,0,1,N/A
29-Nov-17,Oklahoma,Coweta,S 329th E Ave and E 81st St S,0,0,N/A
29-Nov-17,Louisiana,New Orleans,2000 block of N Rocheblave Street,0,1,N/A
29-Nov-17,Florida,Saint Petersburg,22nd Ave S and 34th St S,0,1,N/A
29-Nov-17,Delaware,Wilmington,1300 N Claymont St,0,2,N/A
29-Nov-17,Arkansas,Little Rock,2608 Maple St,0,1,N/A
29-Nov-17,Arkansas,Little Rock,1710 John Barrow Rd,0,1,N/A
29-Nov-17,Maryland,Baltimore,1900 block of Belair Rd,0,1,N/A
29-Nov-17,Maryland,Baltimore,800 block of Bridgeview Rd,0,1,N/A
29-Nov-17,Florida,Jackson (county),N/A,0,0,N/A
29-Nov-17,Florida,Tampa,1417 Tampa Park Plaza,0,0,N/A
29-Nov-17,Missouri,Saint Charles,N/A,0,1,N/A
29-Nov-17,Florida,Destin,341 Sailfish Cir,0,0,N/A
29-Nov-17,Florida,Orlando,2100 40th St,0,1,N/A
29-Nov-17,Florida,Orlando,2635 College Knight Ct,0,0,N/A
29-Nov-17,Florida,Tampa,5300 block of Brushy Creek Dr,0,1,N/A
29-Nov-17,Missouri,Columbia,1014 Claudell Ln,0,0,N/A
29-Nov-17,Missouri,Columbia,700 block of Demaret Dr,0,0,N/A
29-Nov-17,Alabama,Birmingham,1657 Center Point Pkwy,0,1,N/A
29-Nov-17,Nebraska,Ashland,N/A,0,1,N/A
29-Nov-17,California,San Diego,1200 block of Moraea St,0,1,N/A
